ContextFrameNum	ContextFrameName	Condition	FullSentence	TargetWord
frame61	the circus	Expected	Little kids love to go to the circus. There are always exotic animals, and children ﬁnd the acts very exciting. The scariest act is of course when the lion tamer puts his head inside the lion's mouth	mouth
frame61	the circus	Event-Related	Little kids love to go to the circus. There are always exotic animals, and children ﬁnd the acts very exciting. The scariest act is of course when the lion tamer puts his head inside the lion's clowns	clowns
frame61	the circus	Event-Unrelated	Little kids love to go to the circus. There are always exotic animals, and children ﬁnd the acts very exciting. The scariest act is of course when the lion tamer puts his head inside the lion's instructors	instructors
frame62	the olympics	Expected	The Olympic ice skating competition is always well attended. Last year, the winner was the favorite, who was extremely popular. The crowd roared with delight as she took her place on the podium	podium
frame62	the olympics	Event-Related	The Olympic ice skating competition is always well attended. Last year, the winner was the favorite, who was extremely popular. The crowd roared with delight as she took her place on the medal	medal
frame62	the olympics	Event-Unrelated	The Olympic ice skating competition is always well attended. Last year, the winner was the favorite, who was extremely popular. The crowd roared with delight as she took her place on the book	book
frame63	boxing match	Expected	The boxing match had gone on for seven rounds, and both contestants were exhausted. One of them had sustained serious injuries and ﬁnally fell to the mat. Worried about his condition, the referee declared the other ﬁghter the winner	winner
frame63	boxing match	Event-Related	The boxing match had gone on for seven rounds, and both contestants were exhausted. One of them had sustained serious injuries and ﬁnally fell to the mat. Worried about his condition, the referee declared the other ﬁghter the blood	blood
frame63	boxing match	Event-Unrelated	The boxing match had gone on for seven rounds, and both contestants were exhausted. One of them had sustained serious injuries and ﬁnally fell to the mat. Worried about his condition, the referee declared the other ﬁghter the bleach	bleach
frame64	painting	Expected	I started taking an introductory painting course a few weeks ago. During the ﬁrst class, the instructor had a very hard time giving even a simple demonstration. It was clear that he didn't have much teaching experience	experience
frame64	painting	Event-Related	I started taking an introductory painting course a few weeks ago. During the ﬁrst class, the instructor had a very hard time giving even a simple demonstration. It was clear that he didn't have much teaching brush	brush
frame64	painting	Event-Unrelated	I started taking an introductory painting course a few weeks ago. During the ﬁrst class, the instructor had a very hard time giving even a simple demonstration. It was clear that he didn't have much teaching jacket	jacket
frame65	snorkeling	Expected	Nadia went snorkeling in the Great Barrier Reef while on vacation in Australia. She found it to be more beautiful than she had ever imagined. After several hours of swimming around, she still couldn't bring herself to climb back in the boat	boat
frame65	snorkeling	Event-Related	Nadia went snorkeling in the Great Barrier Reef while on vacation in Australia. She found it to be more beautiful than she had ever imagined. After several hours of swimming around, she still couldn't bring herself to climb back in the coral	coral
frame65	snorkeling	Event-Unrelated	Nadia went snorkeling in the Great Barrier Reef while on vacation in Australia. She found it to be more beautiful than she had ever imagined. After several hours of swimming around, she still couldn't bring herself to climb back in the family	family
frame66	going to the symphony	Expected	Music fans have a lot of different tastes when it comes to live performances. A lot of people like to go to rock concerts, but I prefer a symphony. My favorite part is the string quartet	quartet
frame66	going to the symphony	Event-Related	Music fans have a lot of different tastes when it comes to live performances. A lot of people like to go to rock concerts, but I prefer a symphony. My favorite part is the string conductor	conductor
frame66	going to the symphony	Event-Unrelated	Music fans have a lot of different tastes when it comes to live performances. A lot of people like to go to rock concerts, but I prefer a symphony. My favorite part is the string lawyer	lawyer
frame67	moving	Expected	Moving to a new house is always a huge hassle. If you do it yourself, the whole ordeal can last several days. Things go much faster if you hire a moving company	company
frame67	moving	Event-Related	Moving to a new house is always a huge hassle. If you do it yourself, the whole ordeal can last several days. Things go much faster if you hire a moving box	box
frame67	moving	Event-Unrelated	Moving to a new house is always a huge hassle. If you do it yourself, the whole ordeal can last several days. Things go much faster if you hire a moving ring	ring
frame68	climbing a mountain	Expected	The climb up Mount Whitney is beautiful but very challenging. Manny and Julia were tired but looking forward to what they knew awaited them at the top. Finally, they rounded the last bend and were awed by the magniﬁcent view	view
frame68	climbing a mountain	Event-Related	The climb up Mount Whitney is beautiful but very challenging. Manny and Julia were tired but looking forward to what they knew awaited them at the top. Finally, they rounded the last bend and were awed by the magniﬁcent boots	boots
frame68	climbing a mountain	Event-Unrelated	The climb up Mount Whitney is beautiful but very challenging. Manny and Julia were tired but looking forward to what they knew awaited them at the top. Finally, they rounded the last bend and were awed by the magniﬁcent scissors	scissors
frame69	hunting	Expected	The last time Tommy went hunting, he was nearly shot by another hunter. He was creeping quietly through the woods when the other hunter almost mistook him for a deer. It's a good thing he was wearing his orange vest	vest
frame69	hunting	Event-Related	The last time Tommy went hunting, he was nearly shot by another hunter. He was creeping quietly through the woods when the other hunter almost mistook him for a deer. It's a good thing he was wearing his orange gun	gun
frame69	hunting	Event-Unrelated	The last time Tommy went hunting, he was nearly shot by another hunter. He was creeping quietly through the woods when the other hunter almost mistook him for a deer. It's a good thing he was wearing his orange soap	soap
frame70	fishing	Expected	I used to spend a lot of Saturday mornings ﬁshing with my dad. We would wake up early and load the car with all of the equipment. We always brought a bucket of worms to use as the bait	bait
frame70	fishing	Event-Related	I used to spend a lot of Saturday mornings ﬁshing with my dad. We would wake up early and load the car with all of the equipment. We always brought a bucket of worms to use as the rod	rod
frame70	fishing	Event-Unrelated	I used to spend a lot of Saturday mornings ﬁshing with my dad. We would wake up early and load the car with all of the equipment. We always brought a bucket of worms to use as the puck	puck
frame71	going to bed	Expected	I usually fall asleep pretty quickly. Sometimes, though, if I've had a busy day I ﬁnd it hard to wind down. Then I ﬁnd the best thing is to read a good book	book
frame71	going to bed	Event-Related	I usually fall asleep pretty quickly. Sometimes, though, if I've had a busy day I ﬁnd it hard to wind down. Then I ﬁnd the best thing is to read a good bed	bed
frame71	going to bed	Event-Unrelated	I usually fall asleep pretty quickly. Sometimes, though, if I've had a busy day I ﬁnd it hard to wind down. Then I ﬁnd the best thing is to read a good towel	towel
frame72	finding a parking spot	Expected	It can be difﬁcult to ﬁnd a decent parking spot downtown. A lot of the time you have to park on the street. That's why it's always good to have some change to feed the meter	meter
frame72	finding a parking spot	Event-Related	It can be difﬁcult to ﬁnd a decent parking spot downtown. A lot of the time you have to park on the street. That's why it's always good to have some change to feed the car	car
frame72	finding a parking spot	Event-Unrelated	It can be difﬁcult to ﬁnd a decent parking spot downtown. A lot of the time you have to park on the street. That's why it's always good to have some change to feed the calculator	calculator
